perturbation,method,auroc,acc,real_acc,fake_acc
noise_s20,M3_cal,0.5894120978332239,0.5932443939824014,0.876,0.22193040052527904
noise_s20,mean_prob,0.6653717990807616,0.6111268804995742,0.533,0.7137229152987524
noise_s20,majority_vote,0.6114531352593565,0.5337780300879932,0.2505,0.9057780695994747
noise_s20,combiner_logreg,0.6408614986868024,0.577348850411581,0.45375,0.7396585686145765
noise_s20,combiner_mlp,0.6309457485226526,0.562162929321601,0.42175,0.7465528562048588
resize_128,M1_cal,0.7375009028233749,0.4753051376667613,0.08325,0.990151017728168
resize_128,M2_cal,0.6229089789888378,0.4320181663355095,0.0,0.9993434011818779
resize_128,m12_mean,0.7565036112934996,0.45571955719557194,0.0435,0.9970453053184505
resize_128,M3_cal,0.6285054990151018,0.6247516321317059,0.78475,0.41464215364412343
resize_128,mean_prob,0.7135847012475378,0.5554924780017031,0.25475,0.9504267892317794
resize_128,majority_vote,0.6226744500984898,0.4680669883621913,0.06875,0.9924491135915955
resize_128,combiner_logreg,0.7388850952068287,0.5295202952029521,0.21175,0.9468154957321077
resize_128,combiner_mlp,0.7186318942875903,0.5195855804711893,0.20325,0.9349967170059094
social_media,M1_cal,0.6193836178594878,0.4794209480556344,0.11925,0.9523965856861457
social_media,M2_cal,0.6200235554826001,0.4320181663355095,0.0,0.9993434011818779
social_media,m12_mean,0.6348039231779383,0.4561453306840761,0.0545,0.9835850295469468
social_media,M3_cal,0.6321910702560736,0.6221969912006813,0.8235,0.35784635587655944
social_media,mean_prob,0.6718310899540381,0.5567697984672154,0.34175,0.8391332895600788
social_media,majority_vote,0.6114892892317794,0.4738858927050809,0.10175,0.9625738673670388
social_media,combiner_logreg,0.6595970124753776,0.536758444507522,0.28675,0.8650689428759029
social_media,combiner_mlp,0.6666956664478004,0.5234175418677264,0.25125,0.8808273145108338
