config,subset,auroc,acc,real_acc,fake_acc
combiner_M1a,eval,0.7326909524622847,0.6735549565738245,0.7288135593220338,0.6194427978660344
combiner_M1a,eval_modern,0.7162577777777778,0.668,0.712,0.624
combiner_M1b,eval,0.7869008986251509,0.7178796046720575,0.8159806295399515,0.6218138707765264
combiner_M1b,eval_modern,0.7885866666666667,0.7233333333333334,0.8,0.6466666666666666
